code,name,industry,area
300234,开尔新材,陶瓷,浙江
300495,美尚生态,环境保护,江苏
002331,皖通科技,软件服务,安徽
002467,二六三,电信运营,北京
603321,梅轮电梯,运输设备,浙江
600687,刚泰控股,黄金,甘肃
000939,*ST凯迪,新型电力,湖北
600570,恒生电子,软件服务,浙江
601608,中信重工,专用机械,河南
002322,理工环科,软件服务,浙江
603159,上海亚虹,专用机械,上海
002380,科远股份,电气设备,江苏
002737,葵花药业,中成药,黑龙江
000607,华媒控股,广告包装,浙江
300348,长亮科技,软件服务,深圳
600399,*ST抚钢,特种钢,辽宁
002370,亚太药业,化学制药,浙江
600819,耀皮玻璃,玻璃,上海
600329,中新药业,中成药,天津
300475,聚隆科技,专用机械,安徽
002095,生 意 宝,互联网,浙江
600460,士兰微,半导体,浙江
300306,远方信息,电器仪表,浙江
000514,渝 开 发,区域地产,重庆
000090,天健集团,建筑施工,深圳
000850,华茂股份,纺织,安徽
002231,奥维通信,通信设备,辽宁
002036,联创电子,元器件,江西
002052,同洲电子,通信设备,深圳
300339,润和软件,软件服务,江苏
002156,通富微电,半导体,江苏
300741,华宝股份,食品,西藏
000711,京蓝科技,软件服务,黑龙江
603991,至正股份,塑料,上海
603017,中衡设计,建筑施工,江苏
600587,新华医疗,医疗保健,山东
002368,太极股份,软件服务,北京
603300,华铁科技,钢加工,浙江
600563,法拉电子,元器件,福建
600171,上海贝岭,半导体,上海
000011,深物业A,区域地产,深圳
000893,*ST东凌,食品,广东
002661,克明面业,食品,湖南
300521,爱司凯,专用机械,广东
600766,园城黄金,黄金,山东
002069,獐子岛,渔业,辽宁
600735,新华锦,商贸代理,山东
300514,友讯达,通信设备,深圳
603879,永悦科技,化工原料,福建
300255,常山药业,生物制药,河北
600203,福日电子,元器件,福建
300525,博思软件,软件服务,福建
000906,浙商中拓,批发业,浙江
002088,鲁阳节能,矿物制品,山东
600506,香梨股份,种植业,新疆
000727,华东科技,元器件,江苏
000790,泰合健康,中成药,四川
300036,超图软件,软件服务,北京
600706,曲江文旅,旅游服务,陕西
300622,博士眼镜,其他商业,深圳
603568,伟明环保,环境保护,浙江
600455,博通股份,软件服务,陕西
002348,高乐股份,文教休闲,广东
603083,剑桥科技,通信设备,上海
300375,鹏翎股份,汽车配件,天津
600716,凤凰股份,区域地产,江苏
600839,四川长虹,家用电器,四川
300279,和晶科技,元器件,江苏
600682,南京新百,百货,江苏
603868,飞科电器,家用电器,上海
600100,同方股份,电脑设备,北京
002745,木林森,半导体,广东
002397,梦洁股份,纺织,湖南
002332,仙琚制药,生物制药,浙江
600289,*ST信通,软件服务,黑龙江
300211,亿通科技,通信设备,江苏
300492,山鼎设计,建筑施工,四川
002135,东南网架,建筑施工,浙江
300249,依米康,软件服务,四川
600551,时代出版,出版业,安徽
600536,中国软件,软件服务,北京
000605,渤海股份,水务,北京
300257,开山股份,机械基件,浙江
002643,万润股份,化工原料,山东
600847,万里股份,电气设备,重庆
603586,金麒麟,汽车配件,山东
603015,弘讯科技,电气设备,浙江
600846,同济科技,综合类,上海
002511,中顺洁柔,造纸,广东
603528,多伦科技,软件服务,江苏
002030,达安基因,生物制药,广东
600268,国电南自,电气设备,江苏
603289,泰瑞机器,专用机械,浙江
300479,神思电子,软件服务,山东
002438,江苏神通,机械基件,江苏
603008,喜临门,家居用品,浙江
002180,纳思达,电脑设备,广东
300487,蓝晓科技,化工原料,陕西
300162,雷曼股份,元器件,深圳
600664,哈药股份,化学制药,黑龙江
002094,青岛金王,日用化工,山东
600074,*ST保千,电脑设备,江苏
603999,读者传媒,出版业,甘肃
002515,金字火腿,食品,浙江
000686,东北证券,证券,吉林
300034,钢研高纳,小金属,北京
600988,赤峰黄金,黄金,内蒙
002054,德美化工,化工原料,广东
300489,中飞股份,铝,黑龙江
600259,广晟有色,小金属,海南
002296,辉煌科技,通信设备,河南
600093,易见股份,仓储物流,四川
600288,大恒科技,软件服务,北京
300593,新雷能,电气设备,北京
603580,艾艾精工,化工原料,上海
300088,长信科技,元器件,安徽
603869,新智认知,软件服务,广西
600133,东湖高新,园区开发,湖北
002172,澳洋健康,化纤,江苏
002219,恒康医疗,中成药,甘肃
000975,银泰资源,铅锌,内蒙
002235,安妮股份,互联网,福建
300346,南大光电,元器件,江苏
000532,华金资本,元器件,广东
601801,皖新传媒,出版业,安徽
002712,思美传媒,广告包装,浙江
000810,创维数字,家用电器,四川
601799,星宇股份,汽车配件,江苏
002760,凤形股份,机械基件,安徽
600199,金种子酒,白酒,安徽
002668,奥马电器,家用电器,广东
002544,杰赛科技,软件服务,广东
300336,新文化,影视音像,上海
002813,路畅科技,汽车配件,深圳
600177,雅戈尔,服饰,浙江
300047,天源迪科,软件服务,深圳
600572,康恩贝,中成药,浙江
002831,裕同科技,广告包装,深圳
600655,豫园股份,百货,上海
600302,标准股份,纺织机械,陕西
002390,信邦制药,中成药,贵州
002210,飞马国际,仓储物流,深圳
300580,贝斯特,汽车配件,江苏
300054,鼎龙股份,化工原料,湖北
601567,三星医疗,电器仪表,浙江
002630,华西能源,专用机械,四川
600101,明星电力,水力发电,四川
000045,深纺织Ａ,纺织,深圳
002610,爱康科技,电气设备,江苏
